                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3302,                  3.255,                 1.6695,                0.35452,                0.34548,                0.30739,                0.19844,                  1.242,                 3.0632,                 1.5556,             0.00036863,             0.00036863,             0.00036863
                      2,                 1.4304,                 2.8822,                 1.7445,                0.37381,                  0.353,                0.32815,                0.19139,                 1.3838,                 2.6891,                 1.7164,              0.0006658,              0.0006658,              0.0006658
                      3,                 1.4774,                  2.683,                 1.7855,                0.22891,                0.40599,                0.28092,                 0.1601,                 1.4744,                 2.4089,                 1.8431,             0.00088965,             0.00088965,             0.00088965
                      4,                  1.453,                 2.4997,                 1.7647,                0.44713,                0.39904,                0.41113,                0.26889,                 1.4094,                 2.0923,                 1.7404,             0.00078103,             0.00078103,             0.00078103
                      5,                 1.4376,                 2.3407,                  1.749,                0.51703,                0.42232,                 0.4514,                0.28317,                  1.469,                  2.076,                 1.7364,             0.00078103,             0.00078103,             0.00078103
                      6,                 1.3583,                 2.1566,                 1.6612,                0.66044,                0.36604,                0.45462,                0.28484,                 1.3316,                 1.9197,                 1.6284,             0.00067104,             0.00067104,             0.00067104
                      7,                 1.3423,                 2.0786,                 1.6612,                0.62215,                0.43129,                0.50963,                0.36535,                  1.256,                 1.8481,                 1.5581,             0.00056105,             0.00056105,             0.00056105
                      8,                 1.2807,                 1.9045,                 1.6053,                0.54834,                 0.5228,                 0.5522,                0.39465,                 1.1962,                 1.6906,                 1.5268,             0.00045107,             0.00045107,             0.00045107
                      9,                 1.2276,                  1.798,                 1.5548,                0.57208,                0.54273,                0.55976,                0.39928,                 1.1954,                 1.6457,                 1.5036,             0.00034108,             0.00034108,             0.00034108
                     10,                 1.1884,                 1.6458,                 1.5103,                0.63476,                0.56362,                0.57384,                0.42096,                 1.1248,                 1.5593,                 1.4408,             0.00023109,             0.00023109,             0.00023109
