                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0642,                  3.338,                 1.4295,                 0.1297,                0.59921,                0.17647,                0.10292,                 1.2402,                 3.5716,                 1.6055,              0.0003636,              0.0003636,              0.0003636
                      2,                 1.2181,                 2.9202,                 1.5485,                  0.352,                0.32202,                0.29594,                0.18644,                  1.264,                 2.9667,                 1.6891,             0.00066127,             0.00066127,             0.00066127
                      3,                 1.2788,                 2.8312,                 1.6179,                0.41584,                0.34807,                0.31612,                0.20811,                 1.3334,                 2.8965,                 1.7131,             0.00088562,             0.00088562,             0.00088562
                      4,                 1.2676,                 2.8182,                 1.5983,                0.29492,                0.46784,                0.30294,                0.19397,                 1.2686,                 2.6826,                 1.6438,             0.00078103,             0.00078103,             0.00078103
                      5,                 1.2614,                 2.6519,                 1.6145,                0.38225,                0.37172,                0.35381,                0.22277,                 1.3576,                 2.6976,                 1.7014,             0.00078103,             0.00078103,             0.00078103
                      6,                 1.2147,                 2.5236,                 1.5607,                0.34224,                0.50634,                0.33428,                0.22123,                 1.3431,                 2.5694,                 1.7181,             0.00067104,             0.00067104,             0.00067104
                      7,                 1.1626,                 2.3457,                 1.5202,                 0.4635,                0.40614,                 0.4262,                0.28113,                 1.2492,                 2.2819,                 1.6598,             0.00056105,             0.00056105,             0.00056105
                      8,                 1.1185,                 2.3002,                 1.4716,                0.46375,                0.47394,                0.46287,                0.32572,                 1.2064,                 2.1199,                 1.5766,             0.00045107,             0.00045107,             0.00045107
                      9,                 1.0643,                  2.122,                 1.4097,                0.60802,                0.45717,                0.51793,                0.38348,                 1.1211,                 2.0456,                 1.4701,             0.00034108,             0.00034108,             0.00034108
                     10,                 1.0518,                 2.0137,                 1.3917,                0.57999,                0.50626,                 0.5472,                0.39621,                 1.0985,                 1.9625,                 1.4426,             0.00023109,             0.00023109,             0.00023109
