                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1981,                 3.3525,                  1.599,                0.00333,                      1,                0.65842,                0.47179,                0.83798,                 3.4504,                 1.2156,                0.00024,                0.00024,                0.00024
                      2,                0.94637,                 2.3297,                 1.3403,                0.00308,                0.92308,                 0.5586,                0.24405,                 1.4193,                 4.0009,                 1.7121,              0.0004505,              0.0004505,              0.0004505
                      3,                 1.0352,                 2.2294,                 1.4019,                0.84831,                0.43299,                0.62178,                0.47789,                 0.9786,                 3.3286,                  1.458,             0.00060952,             0.00060952,             0.00060952
                      4,                0.98031,                 2.0283,                 1.3699,                 0.9587,                0.53846,                0.63955,                 0.4927,                0.98745,                 3.2006,                 1.5216,             0.00071706,             0.00071706,             0.00071706
                      5,                0.91403,                 1.8941,                 1.3011,                0.76993,                0.53846,                0.65182,                0.45965,                 0.8943,                 2.9498,                 1.3077,             0.00077312,             0.00077312,             0.00077312
                      6,                0.86221,                 1.8159,                 1.2802,                0.71627,                0.69231,                0.78306,                 0.5387,                0.96199,                 2.7853,                 1.2828,              0.0007777,              0.0007777,              0.0007777
                      7,                0.81869,                 1.7273,                 1.2327,                0.84508,                0.83974,                0.91877,                0.67447,                0.79792,                 2.3241,                 1.2376,              0.0007308,              0.0007308,              0.0007308
                      8,                0.75731,                 1.6276,                 1.1638,                  0.852,                 0.8871,                 0.9548,                0.69689,                0.77683,                  2.193,                 1.3446,               0.000614,               0.000614,               0.000614
                      9,                0.73465,                 1.6097,                 1.1148,                0.92238,                0.91469,                0.94687,                0.72967,                0.81152,                 1.9709,                 1.3489,               0.000614,               0.000614,               0.000614
                     10,                 0.7615,                 1.5525,                 1.1025,                0.79142,                0.76923,                0.89483,                0.68468,                0.75536,                 1.8715,                 1.2124,               0.000416,               0.000416,               0.000416
