                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98677,                 2.5971,                 1.2904,                0.00333,                      1,                0.59977,                0.48389,                0.78981,                 3.2439,                 1.2775,                0.00024,                0.00024,                0.00024
                      2,                0.85782,                 1.6571,                  1.198,                0.81595,                0.53846,                0.66899,                0.46817,                 1.0115,                 3.2884,                 1.3345,              0.0004835,              0.0004835,              0.0004835
                      3,                0.99033,                 1.4746,                 1.2098,                0.91156,                0.38462,                0.63944,                0.47998,                0.98805,                  2.836,                 1.4442,             0.00070984,             0.00070984,             0.00070984
                      4,                 1.0115,                 1.5502,                 1.2932,                      1,                0.53126,                0.72773,                0.45974,                 1.0906,                 3.0677,                 1.4809,             0.00091902,             0.00091902,             0.00091902
                      5,                0.94659,                 1.5198,                 1.2144,                0.78616,                0.56749,                0.63808,                0.48926,                 1.1933,                 2.7913,                 1.6419,               0.001111,               0.001111,               0.001111
                      6,                0.98526,                 1.4248,                 1.2389,                0.78954,                0.57917,                 0.7581,                0.49752,                 1.2853,                 2.5369,                 1.8848,              0.0012859,              0.0012859,              0.0012859
                      7,                  1.067,                 1.5641,                 1.3074,                0.56374,                0.76923,                0.67351,                 0.3767,                 1.1828,                   2.12,                  1.991,              0.0014436,              0.0014436,              0.0014436
                      8,                 0.9707,                 1.3608,                 1.2236,                0.69383,                0.69231,                0.79892,                0.60566,                0.99462,                 1.8322,                 1.7446,               0.001538,               0.001538,               0.001538
                      9,                 1.0164,                 1.3904,                 1.2458,                0.87243,                0.52739,                0.73847,                0.54502,                0.99348,                 2.0323,                 1.5333,               0.001538,               0.001538,               0.001538
                     10,                0.98931,                 1.3291,                 1.2598,                0.61379,                0.76923,                0.73309,                0.49126,                 1.1972,                 2.0533,                 1.5592,               0.001472,               0.001472,               0.001472
                     11,                 1.1529,                 1.5059,                 1.3664,                0.77857,                0.61538,                0.74112,                0.50743,                 1.1798,                 2.3441,                 1.6322,               0.001406,               0.001406,               0.001406
                     12,                 1.0837,                  1.456,                 1.3151,                0.44667,                0.37351,                0.36869,                0.26947,                 1.5128,                  3.472,                 2.0576,                0.00134,                0.00134,                0.00134
                     13,                 1.0004,                 1.2891,                 1.2492,                0.37965,                0.47127,                0.45855,                0.36299,                 1.1683,                 2.7836,                 1.6534,               0.001274,               0.001274,               0.001274
                     14,                 1.0469,                 1.2835,                 1.2453,                0.71665,                0.69231,                0.80075,                0.47857,                 1.2728,                 2.3503,                 1.7369,               0.001208,               0.001208,               0.001208
                     15,                0.94257,                 1.1859,                 1.1767,                0.72201,                0.53846,                0.68958,                0.48102,                 1.1429,                 2.5654,                   1.62,               0.001142,               0.001142,               0.001142
                     16,                0.99449,                 1.2249,                 1.2354,                0.75396,                0.53846,                0.74331,                0.54917,                0.98213,                 2.0609,                 1.4655,               0.001076,               0.001076,               0.001076
                     17,                0.96193,                 1.1998,                 1.2244,                0.74409,                0.69231,                0.79782,                0.56426,                0.98483,                 1.8041,                 1.4446,                0.00101,                0.00101,                0.00101
                     18,                 0.8907,                 1.1083,                  1.166,                0.83841,                0.79968,                0.89566,                0.59882,                0.92635,                 1.6197,                 1.3745,               0.000944,               0.000944,               0.000944
                     19,                 1.0216,                 1.1688,                 1.2671,                0.85827,                0.76923,                0.90495,                0.60201,                0.92648,                 1.7091,                 1.3077,               0.000878,               0.000878,               0.000878
                     20,                0.93554,                 1.0918,                 1.1836,                0.70946,                0.76923,                0.83839,                0.66198,                 0.7996,                 1.4407,                  1.189,               0.000812,               0.000812,               0.000812
                     21,                0.90793,                 1.6203,                 1.2764,                0.67422,                0.69231,                0.78238,                0.60235,                0.90647,                 1.4963,                  1.259,               0.000746,               0.000746,               0.000746
                     22,                0.81874,                 1.4404,                 1.2522,                0.69269,                0.69365,                 0.8197,                0.62086,                 1.0537,                 1.6924,                 1.3793,                0.00068,                0.00068,                0.00068
                     23,                0.84212,                 1.4015,                 1.2652,                0.78811,                0.85908,                0.91264,                0.70828,                0.91177,                 1.4629,                 1.2923,               0.000614,               0.000614,               0.000614
                     24,                0.77179,                  1.285,                 1.1485,                0.89879,                0.92308,                 0.9552,                0.79076,                0.77607,                 1.3466,                 1.1637,               0.000548,               0.000548,               0.000548
                     25,                0.73602,                 1.2586,                 1.1952,                0.88474,                0.84615,                0.95586,                0.80084,                0.71192,                 1.2342,                 1.1281,               0.000482,               0.000482,               0.000482
                     26,                0.70335,                 1.1774,                 1.1326,                 0.9884,                0.92308,                0.98567,                0.81289,                0.69715,                 1.1532,                  1.131,               0.000416,               0.000416,               0.000416
                     27,                 0.7023,                 1.1851,                  1.131,                0.87031,                0.84615,                0.91126,                0.67735,                0.78326,                 1.2845,                 1.1746,                0.00035,                0.00035,                0.00035
                     28,                0.71337,                 1.1904,                  1.146,                0.89802,                0.84615,                0.89542,                0.68011,                0.94629,                 1.2908,                 1.2227,               0.000284,               0.000284,               0.000284
                     29,                0.74501,                 1.1781,                 1.1289,                0.89044,                0.84615,                0.91919,                0.69955,                0.92121,                 1.2146,                 1.1891,               0.000218,               0.000218,               0.000218
                     30,                0.68827,                 1.0689,                 1.1052,                0.92681,                0.97534,                0.97357,                 0.7926,                0.76621,                 1.0773,                 1.0733,               0.000152,               0.000152,               0.000152
